name,height,european,weight,from,position
Avery Bradley,1.88,FALSE,180,Texas,G
Jae Crowder,1.98,FALSE,235,Marquette,F
R. J. Hunter,1.96,FALSE,185,Georgia State,G
Jonas Jerebko,2.08,TRUE,231,Sweden,F
Amir Johnson,2.06,FALSE,240,Westchester HS (CA),F
David Lee,2.06,FALSE,245,Florida,F/C
Jordan Mickey,2.03,FALSE,235,LSU,F
Kelly Olynyk,2.13,FALSE,238,Gonzaga,F/C
Terry Rozier,1.88,FALSE,190,Louisville,G
Marcus Smart,1.93,FALSE,220,Oklahoma State,G
Jared Sullinger,2.06,FALSE,260,Ohio State,F
Isaiah Thomas,1.75,FALSE,185,Washington,G
Evan Turner,2.01,FALSE,220,Ohio State,G/F
James Young,1.98,FALSE,215,Kentucky,G/F
Tyler Zeller,2.13,FALSE,253,North Carolina,F/C
Andrea Bargnani,2.13,TRUE,245,Italy,F/C
Bojan Bogdanovi��,2.03,TRUE,216,Croatia,G/F
Markel Brown,1.93,FALSE,190,Oklahoma State,G
Wayne Ellington,1.93,FALSE,200,North Carolina,G
Rondae Hollis-Jefferson,2.01,FALSE,220,Arizona,F
Jarrett Jack,1.91,FALSE,200,Georgia Tech,G
Joe Johnson,2.01,FALSE,240,Arkansas,G/F
Sergey Karasev,2.01,TRUE,208,Russia,G/F
Shane Larkin,1.8,FALSE,175,Miami (FL),G
Brook Lopez,2.13,FALSE,275,Stanford,C
Chris McCullough,2.11,FALSE,200,Syracuse,F
Willie Reed,2.08,FALSE,220,Saint Louis,F/C
Thomas Robinson,2.08,FALSE,237,Kansas,F
Donald Sloan,1.91,FALSE,205,Texas A&M,G
Thaddeus Young,2.03,FALSE,221,Georgia Tech,F
Arron Afflalo,1.96,FALSE,210,UCLA,G/F
Lou Amundson,2.06,FALSE,220,UNLV,F/C
Carmelo Anthony,2.03,FALSE,240,Syracuse,F
Jose Calderon,1.91,TRUE,200,Spain,G
Cleanthony Early,2.03,FALSE,210,Wichita State,F
Langston Galloway,1.88,FALSE,200,Saint Joseph's,G
Jerian Grant,1.93,FALSE,195,Notre Dame,G
Robin Lopez,2.13,FALSE,255,Stanford,C
Kyle O'Quinn,2.08,FALSE,250,Norfolk State,F/C
Kristaps Porzingis,2.21,TRUE,240,Latvia,F/C
Kevin S��raphin,2.06,TRUE,278,France,F/C
Lance Thomas,2.03,FALSE,235,Duke,F
Sasha Vujacic,2.01,TRUE,195,Slovenia,G
Derrick Williams,2.03,FALSE,240,Arizona,F
Isaiah Canaan,1.83,FALSE,201,Murray State,G
Robert Covington,2.06,FALSE,215,Tennessee State,G/F
Joel Embiid,2.13,FALSE,250,Kansas,C
Jerami Grant,2.03,FALSE,210,Syracuse,F
Richaun Holmes,2.08,FALSE,245,Bowling Green,F
Carl Landry,2.06,FALSE,248,Purdue,F
Kendall Marshall,1.93,FALSE,200,North Carolina,G
T. J. McConnell,1.88,FALSE,200,Arizona,G
Nerlens Noel,2.11,FALSE,228,Kentucky,C
Jahlil Okafor,2.11,FALSE,275,Duke,C
Phil Pressey,1.8,FALSE,175,Missouri,G
JaKarr Sampson,2.06,FALSE,214,St. John's,G/F
Nik Stauskas,1.98,FALSE,205,Michigan,G
Hollis Thompson,2.03,FALSE,206,Georgetown,G/F
Christian Wood,2.11,FALSE,220,UNLV,F
Tony Wroten,1.98,FALSE,205,Washington,G
Anthony Bennett,2.03,FALSE,245,UNLV,F
Bismack Biyombo,2.06,FALSE,245,DR Congo,C
Bruno Caboclo,2.06,FALSE,205,Brazil,F
DeMarre Carroll,2.03,FALSE,212,Missouri,F
DeMar DeRozan,2.01,FALSE,220,Southern California,G/F
James Johnson,2.06,FALSE,250,Wake Forest,F
Cory Joseph,1.91,FALSE,190,Texas,G
Kyle Lowry,1.83,FALSE,205,Villanova,G
Lucas Nogueira,2.13,FALSE,220,Brazil,C
Patrick Patterson,2.06,FALSE,235,Kentucky,F/C
